PointSliceID,Room,RoomType,ObjecName,BLG,Floor,ReadingType,Alias
9114,304,Bathroom,WATT-CENTER/FC-2.RADIANT-3.EFFHTG-SP,Watt,3rd Floor,Heating SP,304 Heating SP
8947,344F,Office,WATT-CENTER/FC-2.012027FE.ZN-T,Watt,3rd Floor,Temp,344F Temp
8212,344G,Office,WATT-CENTER/FC-2.012026FE.ZN-T,Watt,3rd Floor,Temp,344G Temp
8834,211,Project Room,WATT-CENTER/FC-2.UF2-2.EFFCLG-SP,Watt,2nd Floor,Cooling SP,211 Cooling SP
8835,211,Project Room,WATT-CENTER/FC-2.UF2-2.EFFHTG-SP,Watt,2nd Floor,Heating SP,211 Heating SP
8900,344H,Office,WATT-CENTER/FC-2.012037FE.ZN-T,Watt,3rd Floor,Temp,344H Temp
8840,209,Project Room,WATT-CENTER/FC-2.UF2-3.EFFCLG-SP,Watt,2nd Floor,Cooling SP,209 Cooling SP
8841,209,Project Room,WATT-CENTER/FC-2.UF2-3.EFFHTG-SP,Watt,2nd Floor,Heating SP,209 Heating SP
41453,400N,Corridor,WATT-CENTER/FC-2.UF-4-1-5.ZN-T,Watt,4th Floor,Temp,400N Temp
8846,207,Project Room,WATT-CENTER/FC-2.UF2-4.EFFCLG-SP,Watt,2nd Floor,Cooling SP,207 Cooling SP
8847,207,Project Room,WATT-CENTER/FC-2.UF2-4.EFFHTG-SP,Watt,2nd Floor,Heating SP,207 Heating SP
8676,400SN,Stairwell,WATT-CENTER/FC-2.FCU-4.ZN-T,Watt,4th Floor,Temp,400SN Temp
8852,205,Project Room,WATT-CENTER/FC-2.UF2-5.EFFCLG-SP,Watt,2nd Floor,Cooling SP,205 Cooling SP
8853,205,Project Room,WATT-CENTER/FC-2.UF2-5.EFFHTG-SP,Watt,2nd Floor,Heating SP,205 Heating SP
8632,400SS,Stairwell,WATT-CENTER/FC-2.FCU-3.ZN-T,Watt,4th Floor,Temp,400SS Temp
8858,203,Classroom,WATT-CENTER/FC-2.UF2-6.EFFCLG-SP,Watt,2nd Floor,Cooling SP,203 Cooling SP
8859,203,Classroom,WATT-CENTER/FC-2.UF2-6.EFFHTG-SP,Watt,2nd Floor,Heating SP,203 Heating SP
8755,400U,Mechanical Room,WATT-CENTER/FC-2.012058FE.ZN-T,Watt,4th Floor,Temp,400U Temp
9062,339G,Office,WATT-CENTER/FC-2.UF3-10.EFFCLG-SP,Watt,3rd Floor,Cooling SP,339G Cooling SP
9109,339G,Office,WATT-CENTER/FC-2.UF3-10.EFFHTG-SP,Watt,3rd Floor,Heating SP,339G Heating SP
41432,406S,Corridor,WATT-CENTER/FC-2.UF-4-1-12.ZN-T,Watt,4th Floor,Temp,406S Temp
45096,406S,Corridor,WATT-CENTER/FC-2.UF-4-1-12.EFFCLG-SP,Watt,4th Floor,Cooling SP,406S Cooling SP
45074,406S,Corridor,WATT-CENTER/FC-2.UF-4-1-12.EFFHTG-SP,Watt,4th Floor,Heating SP,406S Heating SP
31935,439A,Office,WATT-CENTER/FC-2.UF-4-1-2.ZN-T,Watt,4th Floor,Temp,439A Temp
45071,439A,Office,WATT-CENTER/FC-2.UF-4-1-2.EFFCLG-SP,Watt,4th Floor,Cooling SP,439A Cooling SP
